,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
323,2018-11-20,DTW,437,434,871,,
324,2018-11-21,DTW,468,469,937,2018-11-21,Thanksgiving Eve
325,2018-11-22,DTW,240,243,483,2018-11-22,Thanksgiving Day
326,2018-11-23,DTW,306,303,609,2018-11-23,Black Friday
327,2018-11-24,DTW,449,449,898,,
328,2018-11-25,DTW,497,493,990,,
329,2018-11-26,DTW,460,467,927,,
330,2018-11-27,DTW,437,438,875,,
331,2018-11-28,DTW,434,433,867,,
332,2018-11-29,DTW,450,451,901,,
333,2018-11-30,DTW,450,450,900,,
334,2018-12-01,DTW,295,297,592,,
335,2018-12-02,DTW,406,404,810,,
336,2018-12-03,DTW,448,448,896,,
337,2018-12-04,DTW,433,433,866,,
338,2018-12-05,DTW,436,435,871,,
339,2018-12-06,DTW,451,452,903,,
340,2018-12-07,DTW,450,451,901,,
341,2018-12-08,DTW,294,296,590,,
342,2018-12-09,DTW,405,403,808,,
343,2018-12-10,DTW,448,448,896,,
344,2018-12-11,DTW,433,433,866,,
345,2018-12-12,DTW,435,433,868,,
346,2018-12-13,DTW,451,452,903,,
347,2018-12-14,DTW,451,451,902,,
348,2018-12-15,DTW,294,296,590,,
349,2018-12-16,DTW,407,405,812,,
350,2018-12-17,DTW,448,448,896,,
351,2018-12-18,DTW,439,438,877,,
352,2018-12-19,DTW,444,442,886,,
353,2018-12-20,DTW,450,449,899,,
354,2018-12-21,DTW,442,448,890,,
355,2018-12-22,DTW,386,384,770,,
356,2018-12-23,DTW,408,408,816,,
357,2018-12-24,DTW,300,300,600,2018-12-24,Christmas Eve
358,2018-12-25,DTW,280,280,560,2018-12-25,Christmas Day
359,2018-12-26,DTW,417,415,832,,
360,2018-12-27,DTW,418,418,836,,
361,2018-12-28,DTW,417,417,834,,
362,2018-12-29,DTW,383,384,767,,
363,2018-12-30,DTW,410,410,820,,
364,2018-12-31,DTW,310,311,621,2018-12-31,New Year's Eve
365,2019-01-01,DTW,314,312,626,2019-01-01,New Year's Day
366,2019-01-02,DTW,406,407,813,,
367,2019-01-03,DTW,381,383,764,,
